size,min_photos,energy,k,metric,eps_f,eps_id,auto,acc,f1
"(64, 64)",50,0.8,59,l2,,,False,0.4,0.3291783948452518
"(64, 64)",50,0.8,59,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.8,59,l2,,4763.8828016446505,True,0.4,0.3291783948452518
"(64, 64)",50,0.8,59,cosine,,,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,0.01,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,0.1,False,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.8,59,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.8,59,cosine,,0.007831100831755117,True,0.3769230769230769,0.33813807486044595
"(64, 64)",50,0.9,153,l2,,,False,0.4,0.35086861844123557
"(64, 64)",50,0.9,153,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.9,153,l2,,5056.017653020335,True,0.4,0.35086861844123557
"(64, 64)",50,0.9,153,cosine,,,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,0.01,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,0.1,False,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.9,153,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.9,153,cosine,,0.007427624946076017,True,0.3923076923076923,0.34847877215326256
"(64, 64)",50,0.95,290,l2,,,False,0.37948717948717947,0.3353002410371135
"(64, 64)",50,0.95,290,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.95,290,l2,,5187.435203172581,True,0.37948717948717947,0.3353002410371135
"(64, 64)",50,0.95,290,cosine,,,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,0.01,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,0.1,False,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.95,290,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.95,290,cosine,,0.008231485377496656,True,0.39487179487179486,0.350175510686094
"(64, 64)",50,0.99,619,l2,,,False,0.36666666666666664,0.32203167227685064
"(64, 64)",50,0.99,619,l2,,0.01,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,0.1,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,1.0,False,0.0,0.0
"(64, 64)",50,0.99,619,l2,,5302.60139512806,True,0.36666666666666664,0.32203167227685064
"(64, 64)",50,0.99,619,cosine,,,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,0.01,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,0.1,False,0.37948717948717947,0.32599752101065615
"(64, 64)",50,0.99,619,cosine,,1.0,False,0.0,0.0
"(64, 64)",50,0.99,619,cosine,,0.008531705086312874,True,0.37948717948717947,0.32599752101065615
"(64, 64)",25,0.8,60,l2,,,False,0.19629057187017002,0.14012658884903434
"(64, 64)",25,0.8,60,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.8,60,l2,,4824.305794853177,True,0.19629057187017002,0.14012658884903434
"(64, 64)",25,0.8,60,cosine,,,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,0.01,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,0.1,False,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.8,60,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.8,60,cosine,,0.016508106943819323,True,0.21020092735703247,0.15139318997581594
"(64, 64)",25,0.9,169,l2,,,False,0.18238021638330756,0.13067589920268124
"(64, 64)",25,0.9,169,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.9,169,l2,,5138.193726503687,True,0.18238021638330756,0.13067589920268124
"(64, 64)",25,0.9,169,cosine,,,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,0.01,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,0.1,False,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.9,169,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.9,169,cosine,,0.013992456988427646,True,0.20865533230293662,0.15384805698985288
"(64, 64)",25,0.95,347,l2,,,False,0.18238021638330756,0.12794664891118923
"(64, 64)",25,0.95,347,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.95,347,l2,,5283.989414673522,True,0.18238021638330756,0.12794664891118923
"(64, 64)",25,0.95,347,cosine,,,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,0.01,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,0.1,False,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.95,347,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.95,347,cosine,,0.013378357549933703,True,0.20556414219474498,0.14715266960679307
"(64, 64)",25,0.99,854,l2,,,False,0.18547140649149924,0.13064373135555027
"(64, 64)",25,0.99,854,l2,,0.01,False,0.0,0.0
"(64, 64)",25,0.99,854,l2,,0.1,False,0.0,0.0
"(64, 64)",25,0.99,854,l2,,1.0,False,0.0,0.0
"(64, 64)",25,0.99,854,l2,,5411.848498236497,True,0.18547140649149924,0.13064373135555027
"(64, 64)",25,0.99,854,cosine,,,False,0.2071097372488408,0.1507712382604755
"(64, 64)",25,0.99,854,cosine,,0.01,False,0.2071097372488408,0.1507712382604755
"(64, 64)",25,0.99,854,cosine,,0.1,False,0.2071097372488408,0.1507712382604755
"(64, 64)",25,0.99,854,cosine,,1.0,False,0.0,0.0
"(64, 64)",25,0.99,854,cosine,,0.012220283064861975,True,0.2071097372488408,0.1507712382604755
"(64, 64)",20,0.8,61,l2,,,False,0.164021164021164,0.10351773216024072
"(64, 64)",20,0.8,61,l2,,0.01,False,0.0,0.0
"(64, 64)",20,0.8,61,l2,,0.1,False,0.0,0.0
"(64, 64)",20,0.8,61,l2,,1.0,False,0.0,0.0
"(64, 64)",20,0.8,61,l2,,4939.901647774677,True,0.164021164021164,0.10351773216024072
"(64, 64)",20,0.8,61,cosine,,,False,0.1746031746031746,0.11161393891825913
"(64, 64)",20,0.8,61,cosine,,0.01,False,0.1746031746031746,0.11161393891825913
"(64, 64)",20,0.8,61,cosine,,0.1,False,0.1746031746031746,0.11161393891825913
"(64, 64)",20,0.8,61,cosine,,1.0,False,0.0,0.0
"(64, 64)",20,0.8,61,cosine,,0.015708780415726167,True,0.1746031746031746,0.11161393891825913
"(64, 64)",20,0.9,175,l2,,,False,0.164021164021164,0.10826835591566158
"(64, 64)",20,0.9,175,l2,,0.01,False,0.0,0.0
"(64, 64)",20,0.9,175,l2,,0.1,False,0.0,0.0
"(64, 64)",20,0.9,175,l2,,1.0,False,0.0,0.0
"(64, 64)",20,0.9,175,l2,,5253.230067735579,True,0.164021164021164,0.10826835591566158
"(64, 64)",20,0.9,175,cosine,,,False,0.1746031746031746,0.11952871944202091
"(64, 64)",20,0.9,175,cosine,,0.01,False,0.1746031746031746,0.11952871944202091
"(64, 64)",20,0.9,175,cosine,,0.1,False,0.1746031746031746,0.11952871944202091
"(64, 64)",20,0.9,175,cosine,,1.0,False,0.0,0.0
"(64, 64)",20,0.9,175,cosine,,0.012962896049263872,True,0.1746031746031746,0.11952871944202091
"(64, 64)",20,0.95,365,l2,,,False,0.164021164021164,0.10864848872981019
"(64, 64)",20,0.95,365,l2,,0.01,False,0.0,0.0
"(64, 64)",20,0.95,365,l2,,0.1,False,0.0,0.0
"(64, 64)",20,0.95,365,l2,,1.0,False,0.0,0.0
"(64, 64)",20,0.95,365,l2,,5391.850213540986,True,0.164021164021164,0.10864848872981019
"(64, 64)",20,0.95,365,cosine,,,False,0.17195767195767195,0.1110840546023903
"(64, 64)",20,0.95,365,cosine,,0.01,False,0.17195767195767195,0.1110840546023903
"(64, 64)",20,0.95,365,cosine,,0.1,False,0.17195767195767195,0.1110840546023903
"(64, 64)",20,0.95,365,cosine,,1.0,False,0.0,0.0
"(64, 64)",20,0.95,365,cosine,,0.011102905317917827,True,0.17195767195767195,0.1110840546023903
"(64, 64)",20,0.99,935,l2,,,False,0.16005291005291006,0.10781334080108716
"(64, 64)",20,0.99,935,l2,,0.01,False,0.0,0.0
"(64, 64)",20,0.99,935,l2,,0.1,False,0.0,0.0
"(64, 64)",20,0.99,935,l2,,1.0,False,0.0,0.0
"(64, 64)",20,0.99,935,l2,,5521.499679034716,True,0.16005291005291006,0.10781334080108716
"(64, 64)",20,0.99,935,cosine,,,False,0.1746031746031746,0.11402927867021102
"(64, 64)",20,0.99,935,cosine,,0.01,False,0.1746031746031746,0.11402927867021102
"(64, 64)",20,0.99,935,cosine,,0.1,False,0.1746031746031746,0.11402927867021102
"(64, 64)",20,0.99,935,cosine,,1.0,False,0.0,0.0
"(64, 64)",20,0.99,935,cosine,,0.01033239712614678,True,0.1746031746031746,0.11402927867021102
"(64, 64)",10,0.8,62,l2,,,False,0.11008325624421832,0.05630893048807827
"(64, 64)",10,0.8,62,l2,,0.01,False,0.0,0.0
"(64, 64)",10,0.8,62,l2,,0.1,False,0.0,0.0
"(64, 64)",10,0.8,62,l2,,1.0,False,0.0,0.0
"(64, 64)",10,0.8,62,l2,,4832.186940864912,True,0.11008325624421832,0.05630893048807827
"(64, 64)",10,0.8,62,cosine,,,False,0.10823311748381129,0.05273320259836732
"(64, 64)",10,0.8,62,cosine,,0.01,False,0.10823311748381129,0.05273320259836732
"(64, 64)",10,0.8,62,cosine,,0.1,False,0.10823311748381129,0.05273320259836732
"(64, 64)",10,0.8,62,cosine,,1.0,False,0.0,0.0
"(64, 64)",10,0.8,62,cosine,,0.01845616221359213,True,0.10823311748381129,0.05273320259836732
"(64, 64)",10,0.9,185,l2,,,False,0.10453283996299723,0.05240866009023984
"(64, 64)",10,0.9,185,l2,,0.01,False,0.0,0.0
"(64, 64)",10,0.9,185,l2,,0.1,False,0.0,0.0
"(64, 64)",10,0.9,185,l2,,1.0,False,0.0,0.0
"(64, 64)",10,0.9,185,l2,,5158.124138865463,True,0.10453283996299723,0.05240866009023984
"(64, 64)",10,0.9,185,cosine,,,False,0.1091581868640148,0.05300283665278841
"(64, 64)",10,0.9,185,cosine,,0.01,False,0.1091581868640148,0.05300283665278841
"(64, 64)",10,0.9,185,cosine,,0.1,False,0.1091581868640148,0.05300283665278841
"(64, 64)",10,0.9,185,cosine,,1.0,False,0.0,0.0
"(64, 64)",10,0.9,185,cosine,,0.01651309818209075,True,0.1091581868640148,0.05300283665278841
"(64, 64)",10,0.95,403,l2,,,False,0.11193339500462535,0.06228427533459868
"(64, 64)",10,0.95,403,l2,,0.01,False,0.0,0.0
"(64, 64)",10,0.95,403,l2,,0.1,False,0.0,0.0
"(64, 64)",10,0.95,403,l2,,1.0,False,0.0,0.0
"(64, 64)",10,0.95,403,l2,,5308.293248018704,True,0.11193339500462535,0.06228427533459868
"(64, 64)",10,0.95,403,cosine,,,False,0.11655874190564293,0.054399816471601324
"(64, 64)",10,0.95,403,cosine,,0.01,False,0.11655874190564293,0.054399816471601324
"(64, 64)",10,0.95,403,cosine,,0.1,False,0.11655874190564293,0.054399816471601324
"(64, 64)",10,0.95,403,cosine,,1.0,False,0.0,0.0
"(64, 64)",10,0.95,403,cosine,,0.01597010899062358,True,0.11655874190564293,0.054399816471601324
"(64, 64)",10,0.99,1120,l2,,,False,0.11285846438482887,0.06202987760791351
"(64, 64)",10,0.99,1120,l2,,0.01,False,0.0,0.0
"(64, 64)",10,0.99,1120,l2,,0.1,False,0.0,0.0
"(64, 64)",10,0.99,1120,l2,,1.0,False,0.0,0.0
"(64, 64)",10,0.99,1120,l2,,5442.265567951514,True,0.11285846438482887,0.06202987760791351
"(64, 64)",10,0.99,1120,cosine,,,False,0.11655874190564293,0.05645021954194293
"(64, 64)",10,0.99,1120,cosine,,0.01,False,0.11655874190564293,0.05645021954194293
"(64, 64)",10,0.99,1120,cosine,,0.1,False,0.11655874190564293,0.05645021954194293
"(64, 64)",10,0.99,1120,cosine,,1.0,False,0.0,0.0
"(64, 64)",10,0.99,1120,cosine,,0.014750426944109218,True,0.11655874190564293,0.05645021954194293
"(64, 64)",5,0.8,62,l2,,,False,0.08016032064128256,0.04131837441601817
"(64, 64)",5,0.8,62,l2,,0.01,False,0.0,0.0
"(64, 64)",5,0.8,62,l2,,0.1,False,0.0,0.0
"(64, 64)",5,0.8,62,l2,,1.0,False,0.0,0.0
"(64, 64)",5,0.8,62,l2,,4826.667841503937,True,0.08016032064128256,0.04131837441601817
"(64, 64)",5,0.8,62,cosine,,,False,0.07414829659318638,0.039113558730568806
"(64, 64)",5,0.8,62,cosine,,0.01,False,0.07414829659318638,0.039113558730568806
"(64, 64)",5,0.8,62,cosine,,0.1,False,0.07414829659318638,0.039113558730568806
"(64, 64)",5,0.8,62,cosine,,1.0,False,0.0,0.0
"(64, 64)",5,0.8,62,cosine,,0.03998113719096237,True,0.07414829659318638,0.039113558730568806
"(64, 64)",5,0.9,192,l2,,,False,0.08617234468937876,0.03986409549783948
"(64, 64)",5,0.9,192,l2,,0.01,False,0.0,0.0
"(64, 64)",5,0.9,192,l2,,0.1,False,0.0,0.0
"(64, 64)",5,0.9,192,l2,,1.0,False,0.0,0.0
"(64, 64)",5,0.9,192,l2,,5161.954703105664,True,0.08617234468937876,0.03986409549783948
"(64, 64)",5,0.9,192,cosine,,,False,0.08149632598530394,0.04017113150634947
"(64, 64)",5,0.9,192,cosine,,0.01,False,0.08149632598530394,0.04017113150634947
"(64, 64)",5,0.9,192,cosine,,0.1,False,0.08149632598530394,0.04017113150634947
"(64, 64)",5,0.9,192,cosine,,1.0,False,0.0,0.0
"(64, 64)",5,0.9,192,cosine,,0.035972107449930346,True,0.08149632598530394,0.04017113150634947
"(64, 64)",5,0.95,435,l2,,,False,0.08082832331329326,0.03336087250028006
"(64, 64)",5,0.95,435,l2,,0.01,False,0.0,0.0
"(64, 64)",5,0.95,435,l2,,0.1,False,0.0,0.0
"(64, 64)",5,0.95,435,l2,,1.0,False,0.0,0.0
"(64, 64)",5,0.95,435,l2,,5318.925688309751,True,0.08082832331329326,0.03336087250028006
"(64, 64)",5,0.95,435,cosine,,,False,0.0841683366733467,0.04231805134526786
"(64, 64)",5,0.95,435,cosine,,0.01,False,0.0841683366733467,0.04231805134526786
"(64, 64)",5,0.95,435,cosine,,0.1,False,0.0841683366733467,0.04231805134526786
"(64, 64)",5,0.95,435,cosine,,1.0,False,0.0,0.0
"(64, 64)",5,0.95,435,cosine,,0.03398708493080693,True,0.0841683366733467,0.04231805134526786
"(64, 64)",5,0.99,1285,l2,,,False,0.07615230460921844,0.030694549590178335
"(64, 64)",5,0.99,1285,l2,,0.01,False,0.0,0.0
"(64, 64)",5,0.99,1285,l2,,0.1,False,0.0,0.0
"(64, 64)",5,0.99,1285,l2,,1.0,False,0.0,0.0
"(64, 64)",5,0.99,1285,l2,,5452.556503610764,True,0.07615230460921844,0.030694549590178335
"(64, 64)",5,0.99,1285,cosine,,,False,0.07949231796927188,0.04158129879970442
"(64, 64)",5,0.99,1285,cosine,,0.01,False,0.07949231796927188,0.04158129879970442
"(64, 64)",5,0.99,1285,cosine,,0.1,False,0.07949231796927188,0.04158129879970442
"(64, 64)",5,0.99,1285,cosine,,1.0,False,0.0,0.0
"(64, 64)",5,0.99,1285,cosine,,0.03245020299187748,True,0.07949231796927188,0.04158129879970442
"(100, 100)",50,0.8,59,l2,,,False,0.40512820512820513,0.334325848562995
"(100, 100)",50,0.8,59,l2,,0.01,False,0.0,0.0
"(100, 100)",50,0.8,59,l2,,0.1,False,0.0,0.0
"(100, 100)",50,0.8,59,l2,,1.0,False,0.0,0.0
"(100, 100)",50,0.8,59,l2,,7445.731492275345,True,0.40512820512820513,0.334325848562995
"(100, 100)",50,0.8,59,cosine,,,False,0.37948717948717947,0.3422111027346731
"(100, 100)",50,0.8,59,cosine,,0.01,False,0.37948717948717947,0.3422111027346731
"(100, 100)",50,0.8,59,cosine,,0.1,False,0.37948717948717947,0.3422111027346731
"(100, 100)",50,0.8,59,cosine,,1.0,False,0.0,0.0
"(100, 100)",50,0.8,59,cosine,,0.007628667581035128,True,0.37948717948717947,0.3422111027346731
"(100, 100)",50,0.9,154,l2,,,False,0.40512820512820513,0.35569745016161686
"(100, 100)",50,0.9,154,l2,,0.01,False,0.0,0.0
"(100, 100)",50,0.9,154,l2,,0.1,False,0.0,0.0
"(100, 100)",50,0.9,154,l2,,1.0,False,0.0,0.0
"(100, 100)",50,0.9,154,l2,,7896.602724760007,True,0.40512820512820513,0.35569745016161686
"(100, 100)",50,0.9,154,cosine,,,False,0.3871794871794872,0.3499067175271009
"(100, 100)",50,0.9,154,cosine,,0.01,False,0.3871794871794872,0.3499067175271009
"(100, 100)",50,0.9,154,cosine,,0.1,False,0.3871794871794872,0.3499067175271009
"(100, 100)",50,0.9,154,cosine,,1.0,False,0.0,0.0
"(100, 100)",50,0.9,154,cosine,,0.007489532108774538,True,0.3871794871794872,0.3499067175271009
"(100, 100)",50,0.95,294,l2,,,False,0.3769230769230769,0.33297906236862235
"(100, 100)",50,0.95,294,l2,,0.01,False,0.0,0.0
"(100, 100)",50,0.95,294,l2,,0.1,False,0.0,0.0
"(100, 100)",50,0.95,294,l2,,1.0,False,0.0,0.0
"(100, 100)",50,0.95,294,l2,,8100.9002026751405,True,0.3769230769230769,0.33297906236862235
"(100, 100)",50,0.95,294,cosine,,,False,0.38974358974358975,0.35579008026202413
"(100, 100)",50,0.95,294,cosine,,0.01,False,0.38974358974358975,0.35579008026202413
"(100, 100)",50,0.95,294,cosine,,0.1,False,0.38974358974358975,0.35579008026202413
"(100, 100)",50,0.95,294,cosine,,1.0,False,0.0,0.0
"(100, 100)",50,0.95,294,cosine,,0.007995583594007899,True,0.38974358974358975,0.35579008026202413
"(100, 100)",50,0.99,636,l2,,,False,0.3641025641025641,0.3202300922543564
"(100, 100)",50,0.99,636,l2,,0.01,False,0.0,0.0
"(100, 100)",50,0.99,636,l2,,0.1,False,0.0,0.0
"(100, 100)",50,0.99,636,l2,,1.0,False,0.0,0.0
"(100, 100)",50,0.99,636,l2,,8268.161563870974,True,0.3641025641025641,0.3202300922543564
"(100, 100)",50,0.99,636,cosine,,,False,0.3769230769230769,0.32814984400933334
"(100, 100)",50,0.99,636,cosine,,0.01,False,0.3769230769230769,0.32814984400933334
"(100, 100)",50,0.99,636,cosine,,0.1,False,0.3769230769230769,0.32814984400933334
"(100, 100)",50,0.99,636,cosine,,1.0,False,0.0,0.0
"(100, 100)",50,0.99,636,cosine,,0.008416304910301375,True,0.3769230769230769,0.32814984400933334
"(100, 100)",25,0.8,60,l2,,,False,0.19165378670788252,0.1337059933690862
"(100, 100)",25,0.8,60,l2,,0.01,False,0.0,0.0
"(100, 100)",25,0.8,60,l2,,0.1,False,0.0,0.0
"(100, 100)",25,0.8,60,l2,,1.0,False,0.0,0.0
"(100, 100)",25,0.8,60,l2,,7535.9907841413715,True,0.19165378670788252,0.1337059933690862
"(100, 100)",25,0.8,60,cosine,,,False,0.2117465224111283,0.15047689633548011
"(100, 100)",25,0.8,60,cosine,,0.01,False,0.2117465224111283,0.15047689633548011
"(100, 100)",25,0.8,60,cosine,,0.1,False,0.2117465224111283,0.15047689633548011
"(100, 100)",25,0.8,60,cosine,,1.0,False,0.0,0.0
"(100, 100)",25,0.8,60,cosine,,0.016430758647126315,True,0.2117465224111283,0.15047689633548011
"(100, 100)",25,0.9,170,l2,,,False,0.18547140649149924,0.13395207729504935
"(100, 100)",25,0.9,170,l2,,0.01,False,0.0,0.0
"(100, 100)",25,0.9,170,l2,,0.1,False,0.0,0.0
"(100, 100)",25,0.9,170,l2,,1.0,False,0.0,0.0
"(100, 100)",25,0.9,170,l2,,8019.811982001573,True,0.18547140649149924,0.13395207729504935
"(100, 100)",25,0.9,170,cosine,,,False,0.21020092735703247,0.15074152351887016
"(100, 100)",25,0.9,170,cosine,,0.01,False,0.21020092735703247,0.15074152351887016
